Ref,Val,Package,PosX,PosY,Rot,Side
"C1","100uF","CP_Radial_D5.0mm_P2.50mm",18.000000,-75.000000,0.000000,top
"C2","10uF","CP_Radial_D5.0mm_P2.50mm",48.000000,-88.000000,0.000000,top
"C3","10uF","CP_Radial_D5.0mm_P2.50mm",68.000000,-88.000000,0.000000,top
"C4","100nF","C_0603_1608Metric",154.000000,-51.000000,0.000000,top
"C5","1uF","C_0603_1608Metric",154.000000,-55.000000,0.000000,top
"C6","100nF BP_FILTER","C_0603_1608Metric",180.000000,-42.000000,90.000000,top
"C7","10nF PULSE_FILTER","C_0603_1608Metric",172.000000,-108.000000,0.000000,top
"D1","TVS BP_IN","D_SOD-323",166.000000,-42.000000,90.000000,top
"D2","TVS RS485_A","D_SOD-323",164.000000,-85.000000,90.000000,top
"D3","TVS RS485_B","D_SOD-323",168.000000,-85.000000,90.000000,top
"D4","TVS SDI12","D_SOD-323",176.000000,-72.000000,90.000000,top
"D5","TVS PULSE","D_SOD-323",180.000000,-108.000000,90.000000,top
"J1","12V_IN","PinHeader_1x02_P2.54mm_Vertical",8.000000,-15.000000,90.000000,top
"J2","DT80_RS485","PinHeader_1x02_P2.54mm_Vertical",8.000000,-35.000000,90.000000,top
"J3","AI1","PinHeader_1x02_P2.54mm_Vertical",150.000000,-12.000000,-90.000000,top
"J4","AI2","PinHeader_1x02_P2.54mm_Vertical",150.000000,-24.000000,-90.000000,top
"J5","AI3","PinHeader_1x02_P2.54mm_Vertical",150.000000,-36.000000,-90.000000,top
"J6","AI4","PinHeader_1x02_P2.54mm_Vertical",150.000000,-48.000000,-90.000000,top
"J7","REL1_OUT","PinHeader_1x02_P2.54mm_Vertical",150.000000,-65.000000,-90.000000,top
"J8","REL2_OUT","PinHeader_1x02_P2.54mm_Vertical",150.000000,-78.000000,-90.000000,top
"J9","DI1_IN","PinHeader_1x02_P2.54mm_Vertical",146.000000,-90.000000,-90.000000,top
"J10","DI2_IN","PinHeader_1x02_P2.54mm_Vertical",146.000000,-95.000000,-90.000000,top
"J11","UNI_A_V_mV_TC","PinHeader_1x04_P2.54mm_Vertical",190.000000,-12.000000,-90.000000,top
"J12","UNI_B_V_mV_TC","PinHeader_1x04_P2.54mm_Vertical",190.000000,-27.000000,-90.000000,top
"J13","4_20mA_LOOP","PinHeader_1x03_P2.54mm_Vertical",190.000000,-42.000000,-90.000000,top
"J14","RTD_PT100_PT1000","PinHeader_1x04_P2.54mm_Vertical",190.000000,-57.000000,-90.000000,top
"J15","SDI12_SENSOR","PinHeader_1x03_P2.54mm_Vertical",190.000000,-72.000000,-90.000000,top
"J16","RS485_MODBUS_SENSOR","PinHeader_1x04_P2.54mm_Vertical",190.000000,-87.000000,-90.000000,top
"J17","I2C_QWIIC_SENSOR","PinHeader_1x04_P2.54mm_Vertical",112.000000,-110.000000,0.000000,top
"J18","1WIRE_SENSOR","PinHeader_1x03_P2.54mm_Vertical",140.000000,-110.000000,0.000000,top
"J19","PULSE_FREQ_COUNT","PinHeader_1x03_P2.54mm_Vertical",168.000000,-110.000000,0.000000,top
"Q1","TLP281_DI1","SOP-4_3.8x4.1mm_P2.54mm",104.000000,-90.000000,0.000000,top
"Q2","TLP281_DI2","SOP-4_3.8x4.1mm_P2.54mm",120.000000,-90.000000,0.000000,top
"R1","1k","R_0603_1608Metric",100.000000,-96.000000,90.000000,top
"R2","1k","R_0603_1608Metric",116.000000,-96.000000,90.000000,top
"R3","4.7k","R_0603_1608Metric",112.000000,-20.000000,90.000000,top
"R4","4.7k","R_0603_1608Metric",116.000000,-20.000000,90.000000,top
"R5","10k","R_0603_1608Metric",64.000000,-12.000000,90.000000,top
"R6","10k","R_0603_1608Metric",68.000000,-12.000000,90.000000,top
"R7","10k","R_0603_1608Metric",72.000000,-12.000000,90.000000,top
"R8","10k","R_0603_1608Metric",76.000000,-12.000000,90.000000,top
"R9","430R 0.1%","R_0603_1608Metric",178.000000,-56.000000,90.000000,top
"R10","165R 0.1% BP_SHUNT","R_0603_1608Metric",172.000000,-42.000000,90.000000,top
"R11","100R ADC_FILTER","R_0603_1608Metric",176.000000,-42.000000,90.000000,top
"R12","120R RS485_TERM DNP","R_0603_1608Metric",158.000000,-88.000000,0.000000,top
"R13","100k PULSE_PULLDOWN","R_0603_1608Metric",164.000000,-108.000000,0.000000,top
"SW1","Modbus_ADDR","SW_DIP_SPSTx04_Slide_6.7x11.72mm_W8.61mm_P2.54mm_LowProfile",30.000000,-12.000000,0.000000,top
"U1","MAX485","SOIC-8_3.9x4.9mm_P1.27mm",35.000000,-35.000000,0.000000,top
"U2","ESP32-WROOM-32","ESP32-WROOM-32",75.000000,-45.000000,0.000000,top
"U3","ADS1115","VSSOP-10_3x3mm_P0.5mm",125.000000,-28.000000,0.000000,top
"U4","ULN2003","SOIC-16_3.9x9.9mm_P1.27mm",118.000000,-65.000000,0.000000,top
"U5","MP1584 12V-5V","SOIC-8-1EP_3.9x4.9mm_P1.27mm_EP2.41x3.3mm_ThermalVias",35.000000,-75.000000,0.000000,top
"U6","AMS1117-3.3","SOT-223-3_TabPin2",60.000000,-75.000000,0.000000,top
"U7","MAX31865","TSSOP-20_4.4x6.5mm_P0.65mm",166.000000,-58.000000,0.000000,top
