Ref,Val,Package,PosX,PosY,Rot,Side
"C1","100nF TEMP","C_0603_1608Metric",78.000000,-50.000000,0.000000,top
"C2","100nF RH","C_0603_1608Metric",78.000000,-62.000000,0.000000,top
"C3","10uF VIN","C_0603_1608Metric",40.000000,-20.000000,0.000000,top
"C4","10uF 5V","C_0603_1608Metric",62.000000,-20.000000,0.000000,top
"C5","1uF 3V3","C_0603_1608Metric",70.000000,-20.000000,0.000000,top
"D1","TVS RS485_A","D_SOD-323",58.000000,-31.000000,90.000000,top
"D2","TVS RS485_B","D_SOD-323",66.000000,-31.000000,90.000000,top
"J1","12V_IN","TerminalBlock_Phoenix_MKDS-1,5-2-5.08_1x02_P5.08mm_Horizontal",18.000000,-12.000000,0.000000,top
"J2","HMP115_RS485_SENSOR","TerminalBlock_Phoenix_MKDS-1,5-4-5.08_1x04_P5.08mm_Horizontal",18.000000,-34.000000,0.000000,top
"J3","DT80_RS485_OUT","TerminalBlock_Phoenix_MKDS-1,5-3-5.08_1x03_P5.08mm_Horizontal",18.000000,-62.000000,0.000000,top
"J4","HMP115_ANALOG_SENSOR","TerminalBlock_Phoenix_MKDS-1,5-4-5.08_1x04_P5.08mm_Horizontal",98.000000,-22.000000,180.000000,top
"J5","DT80_ANALOG_OUT","TerminalBlock_Phoenix_MKDS-1,5-4-5.08_1x04_P5.08mm_Horizontal",98.000000,-56.000000,180.000000,top
"R1","120R TERM DNP","R_0603_1608Metric",45.000000,-34.000000,0.000000,top
"R2","100R TEMP_FILTER","R_0603_1608Metric",65.000000,-50.000000,0.000000,top
"R3","100R RH_FILTER","R_0603_1608Metric",65.000000,-62.000000,0.000000,top
"U1","5V_BUCK_MODULE","PinHeader_1x03_P2.54mm_Vertical",50.000000,-12.000000,0.000000,top
"U2","AMS1117-3V3","SOT-223-3_TabPin2",75.000000,-12.000000,0.000000,top
